human,machine
saturday november 6 1993,1993-11-06
11 07 01,2001-07-11
feb 10 1987,1987-02-10
dec 14 1972,1972-12-14
september 3 2004,2004-09-03
9/3/04,2004-09-03
tuesday september 25 1984,1984-09-25
10 mar 1978,1978-03-10
sunday june 13 1999,1999-06-13
wednesday november 29 2000,2000-11-29
26 aug 1996,1996-08-26
saturday december 21 1991,1991-12-21
november 10 2006,2006-11-10
nov 5 1978,1978-11-05
tuesday july 15 2008,2008-07-15
wednesday july 29 2009,2009-07-29
friday april 21 1978,1978-04-21
3 01 71,1971-01-03
june 17 1983,1983-06-17
19 jul 1993,1993-07-19
november 1 1973,1973-11-01
13 mar 1984,1984-03-13
thursday february 16 1989,1989-02-16
nov 4 2003,2003-11-04
10 nov 2008,2008-11-10
2/8/91,1991-02-08
sunday december 29 1985,1985-12-29
saturday august 1 1970,1970-08-01
5 april 2004,2004-04-05
august 2 2015,2015-08-02
saturday july 3 1976,1976-07-03
9 may 1977,1977-05-09
thursday september 14 2017,2017-09-14
18 dec 1981,1981-12-18
saturday july 21 1973,1973-07-21
25 aug 2005,2005-08-25
8 07 77,1977-07-08
07.07.95,1995-07-07
8 sep 1993,1993-09-08
3 january 1974,1974-01-03
1 may 2016,2016-05-01
monday january 18 2016,2016-01-18
january 18 1996,1996-01-18
friday march 25 2005,2005-03-25
friday december 7 2001,2001-12-07
june 27 2001,2001-06-27
3 september 1979,1979-09-03
09.06.79,1979-06-09
2/7/82,1982-02-07
18.08.94,1994-08-18
saturday november 4 2017,2017-11-04
november 23 2016,2016-11-23
3/17/82,1982-03-17
21 aug 2013,2013-08-21
february 13 1971,1971-02-13
9 may 1976,1976-05-09
november 26 1994,1994-11-26
july 18 1988,1988-07-18
06.12.15,2015-12-06
31 may 1970,1970-05-31
5 may 1981,1981-05-05
10.11.72,1972-11-10
thursday december 29 1988,1988-12-29
thursday september 11 1986,1986-09-11
aug 7 1991,1991-08-07
21.09.91,1991-09-21
20 august 1999,1999-08-20
monday july 6 1998,1998-07-06
friday february 21 1986,1986-02-21
04.06.83,1983-06-04
april 21 1993,1993-04-21
7 september 1970,1970-09-07
friday july 13 2001,2001-07-13
4 jun 1983,1983-06-04
friday january 16 1970,1970-01-16
sunday march 20 2005,2005-03-20
friday october 4 1996,1996-10-04
30.01.99,1999-01-30
july 21 2000,2000-07-21
thursday march 30 1995,1995-03-30
wednesday june 4 1997,1997-06-04
18 aug 1992,1992-08-18
19.12.13,2013-12-19
28.01.77,1977-01-28
monday february 8 1982,1982-02-08
thursday july 7 1994,1994-07-07
wednesday january 24 2018,2018-01-24
april 4 1993,1993-04-04
thursday june 25 2009,2009-06-25
saturday january 24 1998,1998-01-24
4 may 2003,2003-05-04
18 october 1979,1979-10-18
30 jan 1975,1975-01-30
friday april 28 2006,2006-04-28
sunday july 9 1978,1978-07-09
23 february 2010,2010-02-23
07 jan 2013,2013-01-07
tuesday may 7 1974,1974-05-07
10/7/02,2002-10-07
friday april 19 2002,2002-04-19
26 apr 2008,2008-04-26
11/5/99,1999-11-05
tuesday march 14 1972,1972-03-14
10 may 1979,1979-05-10
saturday may 13 2017,2017-05-13
28 june 1999,1999-06-28
25 december 1982,1982-12-25
29 aug 1977,1977-08-29
friday december 11 2009,2009-12-11
february 20 1982,1982-02-20
24 november 2004,2004-11-24
thursday october 25 1990,1990-10-25
2/9/07,2007-02-09
7/24/04,2004-07-24
thursday october 27 1994,1994-10-27
friday may 4 2012,2012-05-04
4 september 2011,2011-09-04
23 sep 1970,1970-09-23
6 feb 2018,2018-02-06
friday june 19 1981,1981-06-19
saturday september 20 1997,1997-09-20
13 february 1970,1970-02-13
oct 24 1978,1978-10-24
saturday december 30 2017,2017-12-30
september 15 2015,2015-09-15
19 oct 1997,1997-10-19
aug 14 1980,1980-08-14
saturday april 23 2005,2005-04-23
22 september 1984,1984-09-22
12 april 2004,2004-04-12
25 january 2001,2001-01-25
17.11.89,1989-11-17
november 25 1990,1990-11-25
7/10/04,2004-07-10
saturday december 22 1984,1984-12-22
june 5 2011,2011-06-05
tuesday december 21 1971,1971-12-21
feb 21 1989,1989-02-21
wednesday october 24 1979,1979-10-24
december 23 2017,2017-12-23
october 12 2008,2008-10-12
friday january 24 1992,1992-01-24
sunday november 22 1970,1970-11-22
mar 29 2007,2007-03-29
august 8 2017,2017-08-08
wednesday january 14 1976,1976-01-14
15 may 2013,2013-05-15
july 11 1986,1986-07-11
15 nov 1973,1973-11-15
friday april 25 1997,1997-04-25
24.04.75,1975-04-24
thursday march 25 1971,1971-03-25
december 24 2000,2000-12-24
thursday may 18 1978,1978-05-18
24 may 1983,1983-05-24
18.02.03,2003-02-18
monday december 7 1998,1998-12-07
sunday december 31 2000,2000-12-31
1/24/97,1997-01-24
sunday july 28 1991,1991-07-28
27.11.85,1985-11-27
friday october 15 1999,1999-10-15
thursday november 28 1991,1991-11-28
sunday july 11 2010,2010-07-11
21.10.95,1995-10-21
5 mar 2005,2005-03-05
thursday april 15 1982,1982-04-15
december 18 2009,2009-12-18
23 mar 2018,2018-03-23
sunday september 1 1974,1974-09-01
friday march 5 1993,1993-03-05
8 april 1970,1970-04-08
december 23 2000,2000-12-23
1 march 1981,1981-03-01
sunday january 11 2009,2009-01-11
03 nov 1998,1998-11-03
saturday december 2 2017,2017-12-02
4/25/90,1990-04-25
01.09.92,1992-09-01
friday october 19 1979,1979-10-19
10/8/86,1986-10-08
16.05.06,2006-05-16
may 21 1999,1999-05-21
saturday december 2 2000,2000-12-02
17 apr 1999,1999-04-17
july 29 1984,1984-07-29
14 january 2001,2001-01-14
friday january 23 1976,1976-01-23
14 mar 2000,2000-03-14
thursday april 18 1985,1985-04-18
sunday june 23 2002,2002-06-23
july 18 1991,1991-07-18
sunday december 14 1975,1975-12-14
tuesday august 25 1987,1987-08-25
15 dec 1999,1999-12-15
thursday january 1 1970,1970-01-01
january 11 2001,2001-01-11
sunday september 15 1974,1974-09-15
2 march 1970,1970-03-02
monday november 3 1997,1997-11-03
4 december 1999,1999-12-04
sunday december 26 1999,1999-12-26
24 jul 1976,1976-07-24
sunday april 5 2015,2015-04-05
08.02.01,2001-02-08
jan 3 2013,2013-01-03
may 1 1991,1991-05-01
wednesday april 25 2007,2007-04-25
thursday august 31 2017,2017-08-31
26 august 2011,2011-08-26
26 november 1999,1999-11-26
08.03.75,1975-03-08
monday december 23 2002,2002-12-23
may 16 1989,1989-05-16
friday december 18 1987,1987-12-18
april 23 1981,1981-04-23
october 3 2018,2018-10-03
december 14 1975,1975-12-14
saturday october 6 1973,1973-10-06
8 01 06,2006-01-08
tuesday september 3 2013,2013-09-03
1/8/01,2001-01-08
april 25 2014,2014-04-25
tuesday february 25 1986,1986-02-25
friday may 16 2008,2008-05-16
4 march 2009,2009-03-04
february 15 1980,1980-02-15
13 april 2007,2007-04-13
tuesday january 23 2001,2001-01-23
23 dec 1983,1983-12-23
january 9 1972,1972-01-09
5/23/72,1972-05-23
01 dec 2005,2005-12-01
thursday december 1 1988,1988-12-01
saturday december 23 1989,1989-12-23
25 feb 2018,2018-02-25
2 dec 2011,2011-12-02
20 february 1980,1980-02-20
18 september 2018,2018-09-18
sunday april 26 1992,1992-04-26
october 9 1978,1978-10-09
19 apr 1984,1984-04-19
08.08.98,1998-08-08
21 february 1999,1999-02-21
thursday june 11 2009,2009-06-11
saturday december 9 2017,2017-12-09
20 10 85,1985-10-20
june 9 1982,1982-06-09
apr 7 1989,1989-04-07
tuesday july 23 2013,2013-07-23
friday october 14 2005,2005-10-14
saturday august 9 1986,1986-08-09
sunday february 7 2016,2016-02-07
aug 10 2005,2005-08-10
05.10.80,1980-10-05
08 jul 1990,1990-07-08
16 april 1971,1971-04-16
september 24 1975,1975-09-24
7 september 1993,1993-09-07
monday april 26 2004,2004-04-26
monday october 12 1992,1992-10-12
friday february 3 1978,1978-02-03
tuesday march 29 2016,2016-03-29
saturday october 26 2002,2002-10-26
october 12 2009,2009-10-12
18 jan 2015,2015-01-18
saturday january 23 1993,1993-01-23
31 aug 2009,2009-08-31
4/20/83,1983-04-20
friday june 21 2013,2013-06-21
10.05.11,2011-05-10
07 mar 2002,2002-03-07
5 may 1999,1999-05-05
march 13 1972,1972-03-13
12 september 1976,1976-09-12
october 12 2017,2017-10-12
19 november 2004,2004-11-19
17.06.12,2012-06-17
thursday august 11 2016,2016-08-11
3/1/88,1988-03-01
april 4 2003,2003-04-04
20 may 1982,1982-05-20
august 9 1970,1970-08-09
09 may 1988,1988-05-09
6 jul 1992,1992-07-06
14.01.98,1998-01-14
14 october 2002,2002-10-14
december 2 1980,1980-12-02
2 august 1996,1996-08-02
thursday august 20 1987,1987-08-20
9 sep 2012,2012-09-09
tuesday november 20 1990,1990-11-20
tuesday march 14 2006,2006-03-14
4/7/96,1996-04-07
september 4 1981,1981-09-04
october 20 1977,1977-10-20
november 2 1982,1982-11-02
7 may 1982,1982-05-07
tuesday march 15 2005,2005-03-15
july 19 1992,1992-07-19
nov 1 2001,2001-11-01
sunday july 19 1998,1998-07-19
friday july 14 2017,2017-07-14
tuesday november 2 1982,1982-11-02
saturday march 13 1993,1993-03-13
october 16 1975,1975-10-16
saturday june 9 1984,1984-06-09
2 january 2011,2011-01-02
6/4/17,2017-06-04
tuesday june 16 1970,1970-06-16
29 jun 2010,2010-06-29
3/1/80,1980-03-01
3 september 2004,2004-09-03
friday december 14 2001,2001-12-14
monday september 13 1971,1971-09-13
wednesday august 1 2018,2018-08-01
15 nov 2005,2005-11-15
9 02 96,1996-02-09
10 june 1999,1999-06-10
friday july 11 2003,2003-07-11
thursday june 27 2013,2013-06-27
22 september 1988,1988-09-22
monday january 25 1993,1993-01-25
friday may 28 1993,1993-05-28
13.02.88,1988-02-13
sunday december 26 2004,2004-12-26
4 september 1989,1989-09-04
tuesday october 11 2016,2016-10-11
saturday october 14 1989,1989-10-14
1 january 1977,1977-01-01
saturday february 7 1987,1987-02-07
sunday may 14 2017,2017-05-14
wednesday june 4 2003,2003-06-04
sunday june 20 2010,2010-06-20
30 may 1990,1990-05-30
friday august 4 2006,2006-08-04
12.10.80,1980-10-12
23 may 2004,2004-05-23
9 october 2002,2002-10-09
october 24 1997,1997-10-24
friday december 30 1977,1977-12-30
november 1 1974,1974-11-01
saturday august 12 2017,2017-08-12
thursday september 9 2010,2010-09-09
august 18 1994,1994-08-18
7/1/15,2015-07-01
mar 6 1999,1999-03-06
wednesday september 27 2006,2006-09-27
september 20 1991,1991-09-20
thursday may 26 1977,1977-05-26
18 12 04,2004-12-18
30 03 95,1995-03-30
sunday march 20 1994,1994-03-20
08 jun 2006,2006-06-08
wednesday december 7 2011,2011-12-07
11 march 1984,1984-03-11
13 10 98,1998-10-13
04.12.75,1975-12-04
dec 23 2015,2015-12-23
tuesday march 3 2015,2015-03-03
september 3 1972,1972-09-03
26 july 2018,2018-07-26
19 aug 2013,2013-08-19
30 aug 1987,1987-08-30
23 nov 1995,1995-11-23
monday august 26 2013,2013-08-26
7/2/79,1979-07-02
1 march 1979,1979-03-01
wednesday july 15 1987,1987-07-15
friday august 18 2006,2006-08-18
wednesday april 9 1986,1986-04-09
tuesday september 24 2013,2013-09-24
thursday august 24 2000,2000-08-24
wednesday april 29 1992,1992-04-29
thursday october 1 2009,2009-10-01
dec 13 1974,1974-12-13
9 december 1970,1970-12-09
10 jun 2003,2003-06-10
april 30 1981,1981-04-30
28 jul 2001,2001-07-28
saturday march 21 2015,2015-03-21
23 december 1974,1974-12-23
6/4/95,1995-06-04
wednesday may 14 1986,1986-05-14
october 5 2009,2009-10-05
wednesday april 11 1979,1979-04-11
saturday november 3 1973,1973-11-03
friday august 22 1980,1980-08-22
saturday october 9 1982,1982-10-09
28 06 94,1994-06-28
14 aug 2018,2018-08-14
friday november 11 2016,2016-11-11
22.10.72,1972-10-22
sunday april 28 2002,2002-04-28
friday march 28 1980,1980-03-28
6 september 2018,2018-09-06
30 june 1992,1992-06-30
friday september 14 1973,1973-09-14
25 december 1981,1981-12-25
wednesday december 3 2014,2014-12-03
22 may 2006,2006-05-22
thursday january 29 2004,2004-01-29
sunday september 9 2012,2012-09-09
tuesday june 28 1988,1988-06-28
17 may 2018,2018-05-17
friday august 18 2000,2000-08-18
may 27 1989,1989-05-27
sunday january 10 1971,1971-01-10
3/20/70,1970-03-20
aug 5 1990,1990-08-05
24 jun 1971,1971-06-24
friday may 9 2014,2014-05-09
saturday february 11 2012,2012-02-11
12 09 06,2006-09-12
friday may 29 2009,2009-05-29
16 november 1976,1976-11-16
saturday june 8 1991,1991-06-08
wednesday july 18 2001,2001-07-18
11 nov 1989,1989-11-11
4 october 1997,1997-10-04
wednesday november 5 2008,2008-11-05
oct 12 1987,1987-10-12
wednesday july 30 2008,2008-07-30
wednesday august 18 1993,1993-08-18
15 09 72,1972-09-15
september 28 1987,1987-09-28
august 16 1996,1996-08-16
13 november 1991,1991-11-13
june 23 2006,2006-06-23
21 june 2002,2002-06-21
wednesday november 15 1995,1995-11-15
1 nov 2013,2013-11-01
aug 10 2015,2015-08-10
january 21 1980,1980-01-21
tuesday june 19 2007,2007-06-19
thursday july 21 1977,1977-07-21
10/9/12,2012-10-09
29 sep 1974,1974-09-29
15 january 2010,2010-01-15
3/5/78,1978-03-05
16 02 09,2009-02-16
tuesday december 29 1987,1987-12-29
tuesday july 18 1995,1995-07-18
14 10 72,1972-10-14
09.03.18,2018-03-09
may 21 2012,2012-05-21
wednesday april 20 2011,2011-04-20
saturday february 10 1996,1996-02-10
tuesday april 1 2014,2014-04-01
28 feb 1978,1978-02-28
may 14 1971,1971-05-14
monday april 6 1970,1970-04-06
16 september 2007,2007-09-16
09.10.09,2009-10-09
sunday july 23 1989,1989-07-23
saturday september 3 1983,1983-09-03
wednesday may 21 2008,2008-05-21
tuesday august 3 1976,1976-08-03
15 feb 2004,2004-02-15
22 october 1971,1971-10-22
sunday may 29 1988,1988-05-29
monday january 16 2012,2012-01-16
nov 23 1982,1982-11-23
8 feb 1995,1995-02-08
13 feb 2002,2002-02-13
12 december 1996,1996-12-12
saturday april 21 2018,2018-04-21
tuesday january 1 1991,1991-01-01
saturday december 2 2006,2006-12-02
august 19 1976,1976-08-19
24 02 85,1985-02-24
june 27 1995,1995-06-27
4 january 1985,1985-01-04
november 16 1982,1982-11-16
august 11 1996,1996-08-11
wednesday april 3 1991,1991-04-03
tuesday july 21 1987,1987-07-21
friday april 22 2005,2005-04-22
sunday september 14 2008,2008-09-14
sunday march 7 2004,2004-03-07
tuesday september 27 1983,1983-09-27
october 4 2014,2014-10-04
20 august 1985,1985-08-20
friday september 6 1985,1985-09-06
12 aug 2005,2005-08-12
tuesday march 21 2017,2017-03-21
december 19 1970,1970-12-19
11/7/05,2005-11-07
28 december 1998,1998-12-28
friday march 7 1997,1997-03-07
october 31 2013,2013-10-31
22 august 1998,1998-08-22
25 feb 1979,1979-02-25
05.01.87,1987-01-05
april 12 1973,1973-04-12
april 7 1992,1992-04-07
12 june 1996,1996-06-12
tuesday may 14 2013,2013-05-14
16 january 1971,1971-01-16
monday january 2 1984,1984-01-02
14 july 2010,2010-07-14
saturday january 31 2004,2004-01-31
wednesday may 29 2002,2002-05-29
15 nov 2014,2014-11-15
sunday april 20 1975,1975-04-20
wednesday july 29 1970,1970-07-29
thursday august 20 2009,2009-08-20
jun 9 1981,1981-06-09
sunday april 18 1976,1976-04-18
friday november 28 2014,2014-11-28
sunday september 11 1994,1994-09-11
april 3 1999,1999-04-03
31 mar 1986,1986-03-31
06 feb 1990,1990-02-06
monday september 12 1977,1977-09-12
26 september 1976,1976-09-26
saturday april 25 1970,1970-04-25
monday august 22 1994,1994-08-22
sunday april 29 2007,2007-04-29
thursday may 10 1973,1973-05-10
friday february 17 1995,1995-02-17
saturday september 19 1981,1981-09-19
wednesday august 17 2016,2016-08-17
1 dec 2004,2004-12-01
wednesday august 1 1979,1979-08-01
thursday may 22 2003,2003-05-22
thursday september 16 2010,2010-09-16
3/19/78,1978-03-19
monday april 22 2013,2013-04-22
march 20 1985,1985-03-20
wednesday august 20 2014,2014-08-20
monday may 20 1974,1974-05-20
april 30 2011,2011-04-30
thursday august 31 2017,2017-08-31
wednesday september 12 1973,1973-09-12
saturday may 15 1971,1971-05-15
13.12.09,2009-12-13
friday august 20 1976,1976-08-20
5/7/84,1984-05-07
1 09 84,1984-09-01
friday march 2 2012,2012-03-02
15 november 2010,2010-11-15
wednesday september 24 1980,1980-09-24
tuesday february 3 1981,1981-02-03
16 april 2016,2016-04-16
feb 26 1983,1983-02-26
january 3 1971,1971-01-03
wednesday january 18 1984,1984-01-18
16 january 1975,1975-01-16
wednesday march 31 1982,1982-03-31
sunday march 9 1997,1997-03-09
monday september 4 1978,1978-09-04
december 25 2012,2012-12-25
28 oct 2013,2013-10-28
5 feb 1978,1978-02-05
1 dec 2009,2009-12-01
february 3 2002,2002-02-03
oct 18 1983,1983-10-18
30 august 2018,2018-08-30
14 03 87,1987-03-14
3 october 1994,1994-10-03
monday september 28 2009,2009-09-28
3 may 1970,1970-05-03
wednesday october 16 1991,1991-10-16
tuesday may 16 2000,2000-05-16
1 oct 2017,2017-10-01
22 august 1977,1977-08-22
tuesday december 17 2002,2002-12-17
saturday may 20 1995,1995-05-20
7/11/81,1981-07-11
march 23 1978,1978-03-23
saturday july 18 1992,1992-07-18
7 02 13,2013-02-07
thursday april 7 1988,1988-04-07
august 20 1971,1971-08-20
friday june 6 1980,1980-06-06
28 oct 1985,1985-10-28
14 december 1981,1981-12-14
sunday april 13 2008,2008-04-13
september 11 2010,2010-09-11
tuesday march 2 1993,1993-03-02
16 july 1973,1973-07-16
sunday march 7 1999,1999-03-07
saturday july 6 1974,1974-07-06
monday may 19 2003,2003-05-19
29 may 2000,2000-05-29
5 may 2016,2016-05-05
friday june 19 2009,2009-06-19
sunday september 16 2012,2012-09-16
9 jul 1989,1989-07-09
saturday march 5 2005,2005-03-05
1/7/90,1990-01-07
23.09.74,1974-09-23
tuesday january 23 2007,2007-01-23
8 jun 2016,2016-06-08
monday april 7 1980,1980-04-07
april 28 1976,1976-04-28
15 february 1989,1989-02-15
wednesday july 15 1987,1987-07-15
25 feb 2011,2011-02-25
monday april 28 2014,2014-04-28
tuesday march 14 1978,1978-03-14
april 9 2016,2016-04-09
sunday november 5 1989,1989-11-05
18 sep 1973,1973-09-18
04 feb 2012,2012-02-04
17 may 2017,2017-05-17
11 july 2015,2015-07-11
mar 4 2006,2006-03-04
11 12 84,1984-12-11
17 11 89,1989-11-17
june 25 1993,1993-06-25
apr 16 1997,1997-04-16
02 jan 1994,1994-01-02
may 9 1970,1970-05-09
apr 2 2002,2002-04-02
july 17 2000,2000-07-17
5 july 1988,1988-07-05
sunday november 6 2016,2016-11-06
sep 28 2005,2005-09-28
29 sep 2001,2001-09-29
wednesday july 22 1998,1998-07-22
06 sep 1992,1992-09-06
06.12.83,1983-12-06
30 march 1993,1993-03-30
thursday june 10 1971,1971-06-10
9 november 2000,2000-11-09
friday may 18 2012,2012-05-18
monday december 4 2000,2000-12-04
friday july 14 1978,1978-07-14
friday june 20 1997,1997-06-20
thursday june 23 2011,2011-06-23
12/30/14,2014-12-30
wednesday march 21 1984,1984-03-21
14 june 1991,1991-06-14
5 february 2003,2003-02-05
24.02.06,2006-02-24
wednesday may 10 2006,2006-05-10
thursday january 7 1982,1982-01-07
friday july 21 2006,2006-07-21
22 jan 2012,2012-01-22
28 09 13,2013-09-28
tuesday january 6 2004,2004-01-06
thursday august 5 1999,1999-08-05
thursday december 10 1998,1998-12-10
wednesday december 20 1978,1978-12-20
october 23 1996,1996-10-23
14 july 1984,1984-07-14
11 jul 2001,2001-07-11
8 12 07,2007-12-08
monday september 25 1978,1978-09-25
thursday november 7 1996,1996-11-07
tuesday november 14 1995,1995-11-14
16 may 1971,1971-05-16
monday november 17 1980,1980-11-17
may 14 2006,2006-05-14
december 31 1979,1979-12-31
friday february 20 2015,2015-02-20
31 january 2004,2004-01-31
september 10 1986,1986-09-10
tuesday march 3 1992,1992-03-03
21 june 2002,2002-06-21
thursday august 29 1991,1991-08-29
sunday november 22 1992,1992-11-22
tuesday september 25 1990,1990-09-25
dec 14 2005,2005-12-14
monday july 20 1998,1998-07-20
july 14 1985,1985-07-14
16 jun 2013,2013-06-16
10 sep 1972,1972-09-10
24 july 1990,1990-07-24
sunday june 10 2012,2012-06-10
19 nov 1998,1998-11-19
11 jul 2009,2009-07-11
mar 12 2002,2002-03-12
11 may 2015,2015-05-11
16 03 99,1999-03-16
05.04.00,2000-04-05
06 jun 2011,2011-06-06
16 03 87,1987-03-16
thursday february 1 1990,1990-02-01
9 october 1980,1980-10-09
07.06.05,2005-06-07
22.03.94,1994-03-22
20 may 2009,2009-05-20
sunday december 27 1970,1970-12-27
tuesday june 21 1988,1988-06-21
22 11 70,1970-11-22
13 06 92,1992-06-13
friday october 9 2009,2009-10-09
8 12 16,2016-12-08
11/4/77,1977-11-04
tuesday april 13 1999,1999-04-13
wednesday october 5 2011,2011-10-05
14 dec 2014,2014-12-14
24 june 1997,1997-06-24
21 nov 2007,2007-11-21
13 jan 1984,1984-01-13
monday february 17 1997,1997-02-17
aug 27 2006,2006-08-27
monday july 27 1970,1970-07-27
26 oct 1991,1991-10-26
5 05 92,1992-05-05
january 31 2009,2009-01-31
thursday july 25 1991,1991-07-25
26 february 1980,1980-02-26
sunday january 5 1992,1992-01-05
thursday april 2 1981,1981-04-02
17 nov 1975,1975-11-17
11 dec 2015,2015-12-11
29.06.01,2001-06-29
monday january 28 1974,1974-01-28
saturday october 3 1981,1981-10-03
saturday april 6 1974,1974-04-06
february 5 1979,1979-02-05
sunday february 6 1983,1983-02-06
28 feb 2010,2010-02-28
30 apr 2008,2008-04-30
07 mar 1997,1997-03-07
9 mar 2006,2006-03-09
thursday may 8 2003,2003-05-08
august 12 2015,2015-08-12
22 dec 2001,2001-12-22
tuesday may 18 1993,1993-05-18
09 sep 1972,1972-09-09
friday july 6 2007,2007-07-06
sunday august 27 1972,1972-08-27
thursday april 4 1991,1991-04-04
sunday december 28 1975,1975-12-28
august 7 2007,2007-08-07
27 jul 2012,2012-07-27
friday january 13 1978,1978-01-13
20 apr 2015,2015-04-20
thursday april 13 2006,2006-04-13
18 august 2004,2004-08-18
saturday december 11 1976,1976-12-11
march 18 1978,1978-03-18
25.06.96,1996-06-25
tuesday august 26 1980,1980-08-26
may 3 1996,1996-05-03
saturday september 30 1995,1995-09-30
28 may 2000,2000-05-28
7 august 1990,1990-08-07
21 december 2008,2008-12-21
wednesday december 12 1990,1990-12-12
29 aug 2009,2009-08-29
2 02 79,1979-02-02
june 3 2015,2015-06-03
saturday august 16 1986,1986-08-16
tuesday december 15 1970,1970-12-15
saturday december 21 1991,1991-12-21
22 june 2015,2015-06-22
wednesday may 3 2000,2000-05-03
4 october 1978,1978-10-04
friday december 20 1974,1974-12-20
15 march 1975,1975-03-15
february 22 1970,1970-02-22
february 21 1984,1984-02-21
thursday august 10 1989,1989-08-10
07 nov 1991,1991-11-07
15.07.01,2001-07-15
8/16/76,1976-08-16
feb 9 1995,1995-02-09
friday january 10 2003,2003-01-10
tuesday january 26 1982,1982-01-26
thursday june 28 1979,1979-06-28
23 aug 1998,1998-08-23
thursday october 11 2018,2018-10-11
wednesday december 14 2016,2016-12-14
25 mar 1984,1984-03-25
8 09 90,1990-09-08
14 july 2013,2013-07-14
27 august 1996,1996-08-27
wednesday july 30 1986,1986-07-30
wednesday june 8 1977,1977-06-08
friday august 31 2001,2001-08-31
monday january 5 2009,2009-01-05
19 april 1981,1981-04-19
30 oct 1989,1989-10-30
17 march 1986,1986-03-17
oct 27 1985,1985-10-27
30.05.97,1997-05-30
friday august 23 2013,2013-08-23
december 13 1971,1971-12-13
12/7/02,2002-12-07
monday october 16 1989,1989-10-16
15 apr 1996,1996-04-15
nov 16 1979,1979-11-16
02.06.12,2012-06-02
8 nov 2005,2005-11-08
wednesday february 15 2006,2006-02-15
sunday october 15 1972,1972-10-15
saturday july 31 2004,2004-07-31
wednesday january 15 1992,1992-01-15
12 may 1992,1992-05-12
monday december 1 2014,2014-12-01
february 28 1986,1986-02-28
tuesday october 5 1982,1982-10-05
tuesday september 30 1997,1997-09-30
11.12.83,1983-12-11
march 19 1990,1990-03-19
14 aug 1970,1970-08-14
21 may 1977,1977-05-21
25 jan 1989,1989-01-25
monday december 28 2015,2015-12-28
saturday february 3 2001,2001-02-03
11/26/71,1971-11-26
sunday june 19 2011,2011-06-19
december 12 2006,2006-12-12
07.12.89,1989-12-07
wednesday january 24 1996,1996-01-24
12 sep 1991,1991-09-12
22.03.93,1993-03-22
december 23 2012,2012-12-23
30 sep 1973,1973-09-30
wednesday may 17 1995,1995-05-17
october 20 1970,1970-10-20
10 sep 2003,2003-09-10
apr 15 2006,2006-04-15
31 march 2014,2014-03-31
30 april 2009,2009-04-30
friday january 29 2010,2010-01-29
8 december 1980,1980-12-08
25.05.04,2004-05-25
03 jun 1973,1973-06-03
27 april 1990,1990-04-27
october 28 2018,2018-10-28
tuesday november 12 1985,1985-11-12
28 december 2004,2004-12-28
10 january 1984,1984-01-10
friday march 30 2007,2007-03-30
09 mar 1972,1972-03-09
24 jan 1999,1999-01-24
friday september 9 1977,1977-09-09
10/5/72,1972-10-05
february 19 1972,1972-02-19
thursday september 2 1976,1976-09-02
21 07 84,1984-07-21
saturday november 27 2010,2010-11-27
tuesday september 29 1992,1992-09-29
11 jan 1987,1987-01-11
june 12 2011,2011-06-12
27 nov 1977,1977-11-27
saturday november 9 1974,1974-11-09
monday october 23 1978,1978-10-23
thursday april 1 1982,1982-04-01
09 dec 1980,1980-12-09
october 13 2004,2004-10-13
15 december 2008,2008-12-15
5 09 86,1986-09-05
27 jul 2006,2006-07-27
mar 1 1977,1977-03-01
monday december 14 1987,1987-12-14
august 12 1981,1981-08-12
monday august 2 2010,2010-08-02
12/3/10,2010-12-03
tuesday january 9 1990,1990-01-09
4 mar 1996,1996-03-04
thursday august 5 1999,1999-08-05
thursday july 20 1995,1995-07-20
sunday august 11 2013,2013-08-11
1 january 1998,1998-01-01
16.02.93,1993-02-16
october 2 1974,1974-10-02
13 may 1981,1981-05-13
wednesday february 23 1983,1983-02-23
27 feb 1993,1993-02-27
thursday june 2 1977,1977-06-02
20 jun 1999,1999-06-20
monday january 31 1977,1977-01-31
monday may 30 1988,1988-05-30
monday february 12 1979,1979-02-12
november 9 2009,2009-11-09
5/7/86,1986-05-07
wednesday may 23 1984,1984-05-23
17 10 75,1975-10-17
tuesday march 23 1982,1982-03-23
21 june 2007,2007-06-21
03.10.73,1973-10-03
tuesday december 24 1974,1974-12-24
tuesday june 27 1978,1978-06-27
tuesday july 27 2010,2010-07-27
26 oct 1999,1999-10-26
3/24/87,1987-03-24
monday january 3 2011,2011-01-03
10 10 91,1991-10-10
21 nov 1999,1999-11-21
13.12.03,2003-12-13
tuesday january 10 1978,1978-01-10
tuesday may 16 2000,2000-05-16
monday april 20 1981,1981-04-20
january 25 2010,2010-01-25
02.01.82,1982-01-02
21 07 90,1990-07-21
23 06 94,1994-06-23
friday may 4 1973,1973-05-04
29 jan 1987,1987-01-29
07 may 1974,1974-05-07
6 jun 2018,2018-06-06
tuesday june 16 2015,2015-06-16
12 august 1997,1997-08-12
tuesday april 18 2006,2006-04-18
29.03.13,2013-03-29
8 july 1977,1977-07-08
saturday may 14 2011,2011-05-14
nov 17 1982,1982-11-17
16 nov 2012,2012-11-16
28.07.84,1984-07-28
10.04.07,2007-04-10
28 february 2015,2015-02-28
june 16 2010,2010-06-16
saturday march 23 2013,2013-03-23
1/8/05,2005-01-08
apr 17 1991,1991-04-17
25 may 2011,2011-05-25
28 may 2004,2004-05-28
september 15 2017,2017-09-15
